x0,y0,z0,x1,y1,z1,x2,y2,z2
-0.0795365,1.32043,0,-1.10376,-0.729095,0,1.18329,-0.591334,0
-0.0861901,1.32201,0,-1.1018,-0.735646,0,1.18799,-0.58636,0
-0.0928415,1.32355,0,-1.09981,-0.742178,0,1.19265,-0.581371,0
-0.0994907,1.32506,0,-1.09779,-0.748691,0,1.19728,-0.576369,0
-0.106137,1.32654,0,-1.09575,-0.755187,0,1.20188,-0.571351,0
-0.112781,1.32798,0,-1.09368,-0.761663,0,1.20646,-0.56632,0
-0.119423,1.3294,0,-1.09158,-0.768122,0,1.211,-0.561275,0
-0.126061,1.33078,0,-1.08946,-0.774561,0,1.21552,-0.556217,0
-0.132697,1.33213,0,-1.08731,-0.780982,0,1.22,-0.551145,0
-0.139329,1.33344,0,-1.08513,-0.787384,0,1.22446,-0.546059,0
-0.145958,1.33473,0,-1.08293,-0.793767,0,1.22889,-0.540961,0
-0.152583,1.33598,0,-1.0807,-0.800132,0,1.23329,-0.53585,0
-0.159205,1.3372,0,-1.07845,-0.806477,0,1.23765,-0.530726,0
-0.165823,1.33839,0,-1.07617,-0.812803,0,1.24199,-0.525589,0
-0.172437,1.33955,0,-1.07387,-0.81911,0,1.2463,-0.52044,0
-0.179047,1.34068,0,-1.07154,-0.825398,0,1.25058,-0.515279,0
-0.185653,1.34177,0,-1.06918,-0.831667,0,1.25484,-0.510106,0
-0.192255,1.34284,0,-1.0668,-0.837916,0,1.25906,-0.504921,0
-0.198852,1.34387,0,-1.0644,-0.844146,0,1.26325,-0.499724,0
-0.205444,1.34487,0,-1.06197,-0.850356,0,1.26742,-0.494516,0
-0.212032,1.34584,0,-1.05952,-0.856547,0,1.27155,-0.489297,0
-0.218615,1.34678,0,-1.05704,-0.862719,0,1.27566,-0.484066,0
-0.225193,1.34769,0,-1.05454,-0.86887,0,1.27973,-0.478824,0
-0.231766,1.34857,0,-1.05202,-0.875003,0,1.28378,-0.473572,0
-0.238334,1.34942,0,-1.04947,-0.881115,0,1.2878,-0.468309,0
-0.244896,1.35024,0,-1.0469,-0.887208,0,1.29179,-0.463035,0
-0.251453,1.35103,0,-1.0443,-0.89328,0,1.29575,-0.457751,0
-0.258004,1.35179,0,-1.04168,-0.899333,0,1.29969,-0.452457,0
-0.26455,1.35252,0,-1.03904,-0.905366,0,1.30359,-0.447153,0
-0.27109,1.35322,0,-1.03638,-0.911379,0,1.30747,-0.441838,0
-0.277623,1.35389,0,-1.03369,-0.917373,0,1.31131,-0.436515,0
-0.284151,1.35453,0,-1.03098,-0.923345,0,1.31513,-0.431181,0
-0.290673,1.35514,0,-1.02825,-0.929298,0,1.31892,-0.425838,0
-0.297188,1.35572,0,-1.02549,-0.935231,0,1.32268,-0.420486,0
-0.303697,1.35627,0,-1.02272,-0.941144,0,1.32641,-0.415125,0
-0.310199,1.35679,0,-1.01992,-0.947036,0,1.33012,-0.409755,0
-0.316695,1.35728,0,-1.0171,-0.952908,0,1.33379,-0.404377,0
-0.323184,1.35775,0,-1.01425,-0.95876,0,1.33744,-0.398989,0
-0.329666,1.35818,0,-1.01139,-0.964591,0,1.34105,-0.393593,0
-0.336141,1.35859,0,-1.0085,-0.970402,0,1.34464,-0.388189,0
-0.342609,1.35897,0,-1.0056,-0.976192,0,1.34821,-0.382777,0
-0.349069,1.35932,0,-1.00267,-0.981962,0,1.35174,-0.377356,0
-0.355523,1.35964,0,-0.999721,-0.987712,0,1.35524,-0.371928,0
-0.361969,1.35993,0,-0.996752,-0.993441,0,1.35872,-0.366492,0
-0.368408,1.3602,0,-0.993762,-0.999149,0,1.36217,-0.361049,0
-0.374839,1.36043,0,-0.990752,-1.00484,0,1.36559,-0.355598,0
-0.381262,1.36064,0,-0.987721,-1.0105,0,1.36898,-0.350139,0
-0.387677,1.36082,0,-0.98467,-1.01615,0,1.37235,-0.344674,0
-0.394085,1.36098,0,-0.981598,-1.02178,0,1.37568,-0.339201,0
-0.400485,1.3611,0,-0.978507,-1.02738,0,1.37899,-0.333722,0
-0.406876,1.3612,0,-0.975397,-1.03297,0,1.38227,-0.328235,0
-0.413259,1.36127,0,-0.972266,-1.03853,0,1.38553,-0.322743,0
-0.419634,1.36131,0,-0.969116,-1.04407,0,1.38875,-0.317243,0
-0.426001,1.36133,0,-0.965947,-1.04959,0,1.39195,-0.311738,0
-0.432359,1.36132,0,-0.962758,-1.05509,0,1.39512,-0.306226,0
-0.438709,1.36128,0,-0.959551,-1.06057,0,1.39826,-0.300708,0
-0.44505,1.36122,0,-0.956324,-1.06603,0,1.40137,-0.295184,0
-0.451382,1.36113,0,-0.953079,-1.07147,0,1.40446,-0.289655,0
-0.457705,1.36101,0,-0.949815,-1.07689,0,1.40752,-0.284119,0
-0.46402,1.36086,0,-0.946532,-1.08228,0,1.41055,-0.278579,0
-0.470325,1.36069,0,-0.943231,-1.08766,0,1.41356,-0.273032,0
-0.476621,1.36049,0,-0.939912,-1.09301,0,1.41653,-0.267481,0
-0.482909,1.36027,0,-0.936575,-1.09835,0,1.41948,-0.261924,0
-0.489186,1.36002,0,-0.93322,-1.10366,0,1.42241,-0.256363,0
-0.495455,1.35975,0,-0.929846,-1.10895,0,1.4253,-0.250796,0
