x,y,potential
-1.97995,-1.8396,-4.02219
-1.97995,-1.82957,-4.00473
-1.97995,-1.81955,-3.98738
-1.97995,-1.80952,-3.97012
-1.97995,-1.7995,-3.95297
-1.97995,-1.78947,-3.93593
-1.97995,-1.77945,-3.91898
-1.97995,-1.76942,-3.90214
-1.97995,-1.7594,-3.8854
-1.97995,-1.74937,-3.86876
-1.97995,-1.73935,-3.85223
-1.97995,-1.72932,-3.8358
-1.97995,-1.7193,-3.81947
-1.97995,-1.70927,-3.80324
-1.97995,-1.69925,-3.78711
-1.97995,-1.68922,-3.77108
-1.97995,-1.6792,-3.75516
-1.97995,-1.66917,-3.73934
-1.97995,-1.65915,-3.72362
-1.97995,-1.64912,-3.70801
-1.97995,-1.6391,-3.69249
-1.97995,-1.62907,-3.67708
-1.97995,-1.61905,-3.66177
-1.97995,-1.60902,-3.64656
-1.97995,-1.599,-3.63145
-1.97995,-1.58897,-3.61644
-1.97995,-1.57895,-3.60154
-1.97995,-1.56892,-3.58673
-1.97995,-1.5589,-3.57203
-1.97995,-1.54887,-3.55743
-1.97995,-1.53885,-3.54293
-1.97995,-1.52882,-3.52853
-1.97995,-1.5188,-3.51424
-1.97995,-1.50877,-3.50004
-1.97995,-1.49875,-3.48595
-1.97995,-1.48872,-3.47196
-1.97995,-1.4787,-3.45806
-1.97995,-1.46867,-3.44427
-1.97995,-1.45865,-3.43058
-1.97995,-1.44862,-3.41699
-1.97995,-1.4386,-3.40351
-1.97995,-1.42857,-3.39012
-1.97995,-1.41855,-3.37683
-1.97995,-1.40852,-3.36365
-1.97995,-1.3985,-3.35056
-1.97995,-1.38847,-3.33758
-1.97995,-1.37845,-3.32469
-1.97995,-1.36842,-3.31191
